"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Supervivencia","edat"
105,"0","3","male",37,2,0,7.925,"S","No_Survived","31-40"
106,"0","3","male",28,0,0,7.8958,"S","No_Survived","21-30"
107,"1","3","female",21,0,0,7.65,"S","Survived","21-30"
108,"1","3","male",29,0,0,7.775,"S","Survived","21-30"
109,"0","3","male",38,0,0,7.8958,"S","No_Survived","31-40"
110,"1","3","female",29,1,0,24.15,"Q","Survived","21-30"
111,"0","1","male",47,0,0,52,"S","No_Survived","41-50"
112,"0","3","female",14,1,0,14.4542,"C","No_Survived","0-20"
113,"0","3","male",22,0,0,8.05,"S","No_Survived","21-30"
114,"0","3","female",20,1,0,9.825,"S","No_Survived","0-20"
115,"0","3","female",17,0,0,14.4583,"C","No_Survived","0-20"
116,"0","3","male",21,0,0,7.925,"S","No_Survived","21-30"
117,"0","3","male",70,0,0,7.75,"Q","No_Survived","61-70"
118,"0","2","male",29,1,0,21,"S","No_Survived","21-30"
119,"0","1","male",24,0,1,247.5208,"C","No_Survived","21-30"
120,"0","3","female",2,4,2,31.275,"S","No_Survived","0-20"
121,"0","2","male",21,2,0,73.5,"S","No_Survived","21-30"
122,"0","3","male",29,0,0,8.05,"S","No_Survived","21-30"
123,"0","2","male",32,1,0,30.0708,"C","No_Survived","31-40"
124,"1","2","female",32,0,0,13,"S","Survived","31-40"
125,"0","1","male",54,0,1,77.2875,"S","No_Survived","51-60"
126,"1","3","male",12,1,0,11.2417,"C","Survived","0-20"
127,"0","3","male",29,0,0,7.75,"Q","No_Survived","21-30"
128,"1","3","male",24,0,0,7.1417,"S","Survived","21-30"
129,"1","3","female",29,1,1,22.3583,"C","Survived","21-30"
130,"0","3","male",45,0,0,6.975,"S","No_Survived","41-50"
131,"0","3","male",33,0,0,7.8958,"C","No_Survived","31-40"
132,"0","3","male",20,0,0,7.05,"S","No_Survived","0-20"
133,"0","3","female",47,1,0,14.5,"S","No_Survived","41-50"
134,"1","2","female",29,1,0,26,"S","Survived","21-30"
135,"0","2","male",25,0,0,13,"S","No_Survived","21-30"
136,"0","2","male",23,0,0,15.0458,"C","No_Survived","21-30"
137,"1","1","female",19,0,2,26.2833,"S","Survived","0-20"
138,"0","1","male",37,1,0,53.1,"S","No_Survived","31-40"
139,"0","3","male",16,0,0,9.2167,"S","No_Survived","0-20"
140,"0","1","male",24,0,0,79.2,"C","No_Survived","21-30"
141,"0","3","female",29,0,2,15.2458,"C","No_Survived","21-30"
142,"1","3","female",22,0,0,7.75,"S","Survived","21-30"
143,"1","3","female",24,1,0,15.85,"S","Survived","21-30"
144,"0","3","male",19,0,0,6.75,"Q","No_Survived","0-20"
145,"0","2","male",18,0,0,11.5,"S","No_Survived","0-20"
146,"0","2","male",19,1,1,36.75,"S","No_Survived","0-20"
147,"1","3","male",27,0,0,7.7958,"S","Survived","21-30"
148,"0","3","female",9,2,2,34.375,"S","No_Survived","0-20"
149,"0","2","male",36,0,2,26,"S","No_Survived","31-40"
150,"0","2","male",42,0,0,13,"S","No_Survived","41-50"
151,"0","2","male",51,0,0,12.525,"S","No_Survived","51-60"
152,"1","1","female",22,1,0,66.6,"S","Survived","21-30"
153,"0","3","male",55,0,0,8.05,"S","No_Survived","51-60"
154,"0","3","male",40,0,2,14.5,"S","No_Survived","31-40"
155,"0","3","male",29,0,0,7.3125,"S","No_Survived","21-30"
156,"0","1","male",51,0,1,61.3792,"C","No_Survived","51-60"
157,"1","3","female",16,0,0,7.7333,"Q","Survived","0-20"
158,"0","3","male",30,0,0,8.05,"S","No_Survived","21-30"
159,"0","3","male",29,0,0,8.6625,"S","No_Survived","21-30"
160,"0","3","male",29,8,2,69.55,"S","No_Survived","21-30"
161,"0","3","male",44,0,1,16.1,"S","No_Survived","41-50"
162,"1","2","female",40,0,0,15.75,"S","Survived","31-40"
163,"0","3","male",26,0,0,7.775,"S","No_Survived","21-30"
164,"0","3","male",17,0,0,8.6625,"S","No_Survived","0-20"
165,"0","3","male",1,4,1,39.6875,"S","No_Survived","0-20"
166,"1","3","male",9,0,2,20.525,"S","Survived","0-20"
167,"1","1","female",29,0,1,55,"S","Survived","21-30"
168,"0","3","female",45,1,4,27.9,"S","No_Survived","41-50"
169,"0","1","male",29,0,0,25.925,"S","No_Survived","21-30"
170,"0","3","male",28,0,0,56.4958,"S","No_Survived","21-30"
171,"0","1","male",61,0,0,33.5,"S","No_Survived","61-70"
172,"0","3","male",4,4,1,29.125,"Q","No_Survived","0-20"
173,"1","3","female",1,1,1,11.1333,"S","Survived","0-20"
174,"0","3","male",21,0,0,7.925,"S","No_Survived","21-30"
175,"0","1","male",56,0,0,30.6958,"C","No_Survived","51-60"
176,"0","3","male",18,1,1,7.8542,"S","No_Survived","0-20"
177,"0","3","male",29,3,1,25.4667,"S","No_Survived","21-30"
178,"0","1","female",50,0,0,28.7125,"C","No_Survived","41-50"
179,"0","2","male",30,0,0,13,"S","No_Survived","21-30"
180,"0","3","male",36,0,0,0,"S","No_Survived","31-40"
181,"0","3","female",29,8,2,69.55,"S","No_Survived","21-30"
182,"0","2","male",29,0,0,15.05,"C","No_Survived","21-30"
183,"0","3","male",9,4,2,31.3875,"S","No_Survived","0-20"
184,"1","2","male",1,2,1,39,"S","Survived","0-20"
185,"1","3","female",4,0,2,22.025,"S","Survived","0-20"
186,"0","1","male",29,0,0,50,"S","No_Survived","21-30"
187,"1","3","female",29,1,0,15.5,"Q","Survived","21-30"
188,"1","1","male",45,0,0,26.55,"S","Survived","41-50"
189,"0","3","male",40,1,1,15.5,"Q","No_Survived","31-40"
190,"0","3","male",36,0,0,7.8958,"S","No_Survived","31-40"
191,"1","2","female",32,0,0,13,"S","Survived","31-40"
192,"0","2","male",19,0,0,13,"S","No_Survived","0-20"
193,"1","3","female",19,1,0,7.8542,"S","Survived","0-20"
194,"1","2","male",3,1,1,26,"S","Survived","0-20"
195,"1","1","female",44,0,0,27.7208,"C","Survived","41-50"
196,"1","1","female",58,0,0,146.5208,"C","Survived","51-60"
197,"0","3","male",29,0,0,7.75,"Q","No_Survived","21-30"
198,"0","3","male",42,0,1,8.4042,"S","No_Survived","41-50"
199,"1","3","female",29,0,0,7.75,"Q","Survived","21-30"
200,"0","2","female",24,0,0,13,"S","No_Survived","21-30"
201,"0","3","male",28,0,0,9.5,"S","No_Survived","21-30"
202,"0","3","male",29,8,2,69.55,"S","No_Survived","21-30"
203,"0","3","male",34,0,0,6.4958,"S","No_Survived","31-40"
204,"0","3","male",45,0,0,7.225,"C","No_Survived","41-50"
205,"1","3","male",18,0,0,8.05,"S","Survived","0-20"
206,"0","3","female",2,0,1,10.4625,"S","No_Survived","0-20"
207,"0","3","male",32,1,0,15.85,"S","No_Survived","31-40"
208,"1","3","male",26,0,0,18.7875,"C","Survived","21-30"
209,"1","3","female",16,0,0,7.75,"Q","Survived","0-20"
210,"1","1","male",40,0,0,31,"C","Survived","31-40"
211,"0","3","male",24,0,0,7.05,"S","No_Survived","21-30"
212,"1","2","female",35,0,0,21,"S","Survived","31-40"
213,"0","3","male",22,0,0,7.25,"S","No_Survived","21-30"
214,"0","2","male",30,0,0,13,"S","No_Survived","21-30"
215,"0","3","male",29,1,0,7.75,"Q","No_Survived","21-30"
216,"1","1","female",31,1,0,113.275,"C","Survived","31-40"
217,"1","3","female",27,0,0,7.925,"S","Survived","21-30"
218,"0","2","male",42,1,0,27,"S","No_Survived","41-50"
219,"1","1","female",32,0,0,76.2917,"C","Survived","31-40"
220,"0","2","male",30,0,0,10.5,"S","No_Survived","21-30"
221,"1","3","male",16,0,0,8.05,"S","Survived","0-20"
222,"0","2","male",27,0,0,13,"S","No_Survived","21-30"
223,"0","3","male",51,0,0,8.05,"S","No_Survived","51-60"
224,"0","3","male",29,0,0,7.8958,"S","No_Survived","21-30"
225,"1","1","male",38,1,0,90,"S","Survived","31-40"
226,"0","3","male",22,0,0,9.35,"S","No_Survived","21-30"
227,"1","2","male",19,0,0,10.5,"S","Survived","0-20"
228,"0","3","male",20,0,0,7.25,"S","No_Survived","0-20"
229,"0","2","male",18,0,0,13,"S","No_Survived","0-20"
230,"0","3","female",29,3,1,25.4667,"S","No_Survived","21-30"
231,"1","1","female",35,1,0,83.475,"S","Survived","31-40"
232,"0","3","male",29,0,0,7.775,"S","No_Survived","21-30"
233,"0","2","male",59,0,0,13.5,"S","No_Survived","51-60"
234,"1","3","female",5,4,2,31.3875,"S","Survived","0-20"
235,"0","2","male",24,0,0,10.5,"S","No_Survived","21-30"
236,"0","3","female",29,0,0,7.55,"S","No_Survived","21-30"
237,"0","2","male",44,1,0,26,"S","No_Survived","41-50"
238,"1","2","female",8,0,2,26.25,"S","Survived","0-20"
239,"0","2","male",19,0,0,10.5,"S","No_Survived","0-20"
240,"0","2","male",33,0,0,12.275,"S","No_Survived","31-40"
241,"0","3","female",29,1,0,14.4542,"C","No_Survived","21-30"
242,"1","3","female",29,1,0,15.5,"Q","Survived","21-30"
243,"0","2","male",29,0,0,10.5,"S","No_Survived","21-30"
244,"0","3","male",22,0,0,7.125,"S","No_Survived","21-30"
245,"0","3","male",30,0,0,7.225,"C","No_Survived","21-30"
246,"0","1","male",44,2,0,90,"Q","No_Survived","41-50"
247,"0","3","female",25,0,0,7.775,"S","No_Survived","21-30"
248,"1","2","female",24,0,2,14.5,"S","Survived","21-30"
249,"1","1","male",37,1,1,52.5542,"S","Survived","31-40"
250,"0","2","male",54,1,0,26,"S","No_Survived","51-60"
251,"0","3","male",29,0,0,7.25,"S","No_Survived","21-30"
252,"0","3","female",29,1,1,10.4625,"S","No_Survived","21-30"
253,"0","1","male",62,0,0,26.55,"S","No_Survived","61-70"
254,"0","3","male",30,1,0,16.1,"S","No_Survived","21-30"
255,"0","3","female",41,0,2,20.2125,"S","No_Survived","41-50"
256,"1","3","female",29,0,2,15.2458,"C","Survived","21-30"
257,"1","1","female",29,0,0,79.2,"C","Survived","21-30"
258,"1","1","female",30,0,0,86.5,"S","Survived","21-30"
259,"1","1","female",35,0,0,512.3292,"C","Survived","31-40"
260,"1","2","female",50,0,1,26,"S","Survived","41-50"
261,"0","3","male",29,0,0,7.75,"Q","No_Survived","21-30"
262,"1","3","male",3,4,2,31.3875,"S","Survived","0-20"
263,"0","1","male",52,1,1,79.65,"S","No_Survived","51-60"
264,"0","1","male",40,0,0,0,"S","No_Survived","31-40"
265,"0","3","female",29,0,0,7.75,"Q","No_Survived","21-30"
266,"0","2","male",36,0,0,10.5,"S","No_Survived","31-40"
267,"0","3","male",16,4,1,39.6875,"S","No_Survived","0-20"
268,"1","3","male",25,1,0,7.775,"S","Survived","21-30"
269,"1","1","female",58,0,1,153.4625,"S","Survived","51-60"
270,"1","1","female",35,0,0,135.6333,"S","Survived","31-40"
271,"0","1","male",29,0,0,31,"S","No_Survived","21-30"
272,"1","3","male",25,0,0,0,"S","Survived","21-30"
273,"1","2","female",41,0,1,19.5,"S","Survived","41-50"
274,"0","1","male",37,0,1,29.7,"C","No_Survived","31-40"
275,"1","3","female",29,0,0,7.75,"Q","Survived","21-30"
276,"1","1","female",63,1,0,77.9583,"S","Survived","61-70"
277,"0","3","female",45,0,0,7.75,"S","No_Survived","41-50"
278,"0","2","male",29,0,0,0,"S","No_Survived","21-30"
279,"0","3","male",7,4,1,29.125,"Q","No_Survived","0-20"
280,"1","3","female",35,1,1,20.25,"S","Survived","31-40"
281,"0","3","male",65,0,0,7.75,"Q","No_Survived","61-70"
282,"0","3","male",28,0,0,7.8542,"S","No_Survived","21-30"
283,"0","3","male",16,0,0,9.5,"S","No_Survived","0-20"
284,"1","3","male",19,0,0,8.05,"S","Survived","0-20"
285,"0","1","male",29,0,0,26,"S","No_Survived","21-30"
286,"0","3","male",33,0,0,8.6625,"C","No_Survived","31-40"
287,"1","3","male",30,0,0,9.5,"S","Survived","21-30"
288,"0","3","male",22,0,0,7.8958,"S","No_Survived","21-30"
289,"1","2","male",42,0,0,13,"S","Survived","41-50"
290,"1","3","female",22,0,0,7.75,"Q","Survived","21-30"
291,"1","1","female",26,0,0,78.85,"S","Survived","21-30"
292,"1","1","female",19,1,0,91.0792,"C","Survived","0-20"
293,"0","2","male",36,0,0,12.875,"C","No_Survived","31-40"
294,"0","3","female",24,0,0,8.85,"S","No_Survived","21-30"
295,"0","3","male",24,0,0,7.8958,"S","No_Survived","21-30"
296,"0","1","male",29,0,0,27.7208,"C","No_Survived","21-30"
297,"0","3","male",23,0,0,7.2292,"C","No_Survived","21-30"
298,"0","1","female",2,1,2,151.55,"S","No_Survived","0-20"
299,"1","1","male",29,0,0,30.5,"S","Survived","21-30"
300,"1","1","female",50,0,1,247.5208,"C","Survived","41-50"
301,"1","3","female",29,0,0,7.75,"Q","Survived","21-30"
302,"1","3","male",29,2,0,23.25,"Q","Survived","21-30"
303,"0","3","male",19,0,0,0,"S","No_Survived","0-20"
304,"1","2","female",29,0,0,12.35,"Q","Survived","21-30"
305,"0","3","male",29,0,0,8.05,"S","No_Survived","21-30"
306,"1","1","male",0,1,2,151.55,"S","Survived",NA
307,"1","1","female",29,0,0,110.8833,"C","Survived","21-30"
308,"1","1","female",17,1,0,108.9,"C","Survived","0-20"
309,"0","2","male",30,1,0,24,"C","No_Survived","21-30"
310,"1","1","female",30,0,0,56.9292,"C","Survived","21-30"
311,"1","1","female",24,0,0,83.1583,"C","Survived","21-30"
312,"1","1","female",18,2,2,262.375,"C","Survived","0-20"
313,"0","2","female",26,1,1,26,"S","No_Survived","21-30"
314,"0","3","male",28,0,0,7.8958,"S","No_Survived","21-30"
315,"0","2","male",43,1,1,26.25,"S","No_Survived","41-50"
316,"1","3","female",26,0,0,7.8542,"S","Survived","21-30"
317,"1","2","female",24,1,0,26,"S","Survived","21-30"
318,"0","2","male",54,0,0,14,"S","No_Survived","51-60"
319,"1","1","female",31,0,2,164.8667,"S","Survived","31-40"
320,"1","1","female",40,1,1,134.5,"C","Survived","31-40"
321,"0","3","male",22,0,0,7.25,"S","No_Survived","21-30"
322,"0","3","male",27,0,0,7.8958,"S","No_Survived","21-30"
323,"1","2","female",30,0,0,12.35,"Q","Survived","21-30"
324,"1","2","female",22,1,1,29,"S","Survived","21-30"
325,"0","3","male",29,8,2,69.55,"S","No_Survived","21-30"
326,"1","1","female",36,0,0,135.6333,"C","Survived","31-40"
327,"0","3","male",61,0,0,6.2375,"S","No_Survived","61-70"
328,"1","2","female",36,0,0,13,"S","Survived","31-40"
329,"1","3","female",31,1,1,20.525,"S","Survived","31-40"
330,"1","1","female",16,0,1,57.9792,"C","Survived","0-20"
331,"1","3","female",29,2,0,23.25,"Q","Survived","21-30"
332,"0","1","male",45,0,0,28.5,"S","No_Survived","41-50"
333,"0","1","male",38,0,1,153.4625,"S","No_Survived","31-40"
334,"0","3","male",16,2,0,18,"S","No_Survived","0-20"
335,"1","1","female",29,1,0,133.65,"S","Survived","21-30"
336,"0","3","male",29,0,0,7.8958,"S","No_Survived","21-30"
337,"0","1","male",29,1,0,66.6,"S","No_Survived","21-30"
338,"1","1","female",41,0,0,134.5,"C","Survived","41-50"
339,"1","3","male",45,0,0,8.05,"S","Survived","41-50"
340,"0","1","male",45,0,0,35.5,"S","No_Survived","41-50"
341,"1","2","male",2,1,1,26,"S","Survived","0-20"
342,"1","1","female",24,3,2,263,"S","Survived","21-30"
343,"0","2","male",28,0,0,13,"S","No_Survived","21-30"
344,"0","2","male",25,0,0,13,"S","No_Survived","21-30"
345,"0","2","male",36,0,0,13,"S","No_Survived","31-40"
346,"1","2","female",24,0,0,13,"S","Survived","21-30"
347,"1","2","female",40,0,0,13,"S","Survived","31-40"
348,"1","3","female",29,1,0,16.1,"S","Survived","21-30"
349,"1","3","male",3,1,1,15.9,"S","Survived","0-20"
350,"0","3","male",42,0,0,8.6625,"S","No_Survived","41-50"
351,"0","3","male",23,0,0,9.225,"S","No_Survived","21-30"
352,"0","1","male",29,0,0,35,"S","No_Survived","21-30"
353,"0","3","male",15,1,1,7.2292,"C","No_Survived","0-20"
354,"0","3","male",25,1,0,17.8,"S","No_Survived","21-30"
355,"0","3","male",29,0,0,7.225,"C","No_Survived","21-30"
356,"0","3","male",28,0,0,9.5,"S","No_Survived","21-30"
357,"1","1","female",22,0,1,55,"S","Survived","21-30"
358,"0","2","female",38,0,0,13,"S","No_Survived","31-40"
359,"1","3","female",29,0,0,7.8792,"Q","Survived","21-30"
360,"1","3","female",29,0,0,7.8792,"Q","Survived","21-30"
361,"0","3","male",40,1,4,27.9,"S","No_Survived","31-40"
362,"0","2","male",29,1,0,27.7208,"C","No_Survived","21-30"
363,"0","3","female",45,0,1,14.4542,"C","No_Survived","41-50"
364,"0","3","male",35,0,0,7.05,"S","No_Survived","31-40"
365,"0","3","male",29,1,0,15.5,"Q","No_Survived","21-30"
366,"0","3","male",30,0,0,7.25,"S","No_Survived","21-30"
367,"1","1","female",60,1,0,75.25,"C","Survived","51-60"
368,"1","3","female",29,0,0,7.2292,"C","Survived","21-30"
369,"1","3","female",29,0,0,7.75,"Q","Survived","21-30"
370,"1","1","female",24,0,0,69.3,"C","Survived","21-30"
371,"1","1","male",25,1,0,55.4417,"C","Survived","21-30"
372,"0","3","male",18,1,0,6.4958,"S","No_Survived","0-20"
373,"0","3","male",19,0,0,8.05,"S","No_Survived","0-20"
374,"0","1","male",22,0,0,135.6333,"C","No_Survived","21-30"
375,"0","3","female",3,3,1,21.075,"S","No_Survived","0-20"
376,"1","1","female",29,1,0,82.1708,"C","Survived","21-30"
377,"1","3","female",22,0,0,7.25,"S","Survived","21-30"
378,"0","1","male",27,0,2,211.5,"C","No_Survived","21-30"
379,"0","3","male",20,0,0,4.0125,"C","No_Survived","0-20"
380,"0","3","male",19,0,0,7.775,"S","No_Survived","0-20"
381,"1","1","female",42,0,0,227.525,"C","Survived","41-50"
382,"1","3","female",1,0,2,15.7417,"C","Survived","0-20"
383,"0","3","male",32,0,0,7.925,"S","No_Survived","31-40"
384,"1","1","female",35,1,0,52,"S","Survived","31-40"
385,"0","3","male",29,0,0,7.8958,"S","No_Survived","21-30"
386,"0","2","male",18,0,0,73.5,"S","No_Survived","0-20"
387,"0","3","male",1,5,2,46.9,"S","No_Survived","0-20"
388,"1","2","female",36,0,0,13,"S","Survived","31-40"
389,"0","3","male",29,0,0,7.7292,"Q","No_Survived","21-30"
390,"1","2","female",17,0,0,12,"C","Survived","0-20"
391,"1","1","male",36,1,2,120,"S","Survived","31-40"
392,"1","3","male",21,0,0,7.7958,"S","Survived","21-30"
393,"0","3","male",28,2,0,7.925,"S","No_Survived","21-30"
394,"1","1","female",23,1,0,113.275,"C","Survived","21-30"
395,"1","3","female",24,0,2,16.7,"S","Survived","21-30"
396,"0","3","male",22,0,0,7.7958,"S","No_Survived","21-30"
397,"0","3","female",31,0,0,7.8542,"S","No_Survived","31-40"
398,"0","2","male",46,0,0,26,"S","No_Survived","41-50"
399,"0","2","male",23,0,0,10.5,"S","No_Survived","21-30"
400,"1","2","female",28,0,0,12.65,"S","Survived","21-30"
401,"1","3","male",39,0,0,7.925,"S","Survived","31-40"
402,"0","3","male",26,0,0,8.05,"S","No_Survived","21-30"
403,"0","3","female",21,1,0,9.825,"S","No_Survived","21-30"
404,"0","3","male",28,1,0,15.85,"S","No_Survived","21-30"
405,"0","3","female",20,0,0,8.6625,"S","No_Survived","0-20"
406,"0","2","male",34,1,0,21,"S","No_Survived","31-40"
407,"0","3","male",51,0,0,7.75,"S","No_Survived","51-60"
408,"1","2","male",3,1,1,18.75,"S","Survived","0-20"
409,"0","3","male",21,0,0,7.775,"S","No_Survived","21-30"
410,"0","3","female",29,3,1,25.4667,"S","No_Survived","21-30"
411,"0","3","male",29,0,0,7.8958,"S","No_Survived","21-30"
412,"0","3","male",29,0,0,6.8583,"Q","No_Survived","21-30"
413,"1","1","female",33,1,0,90,"Q","Survived","31-40"
414,"0","2","male",29,0,0,0,"S","No_Survived","21-30"
415,"1","3","male",44,0,0,7.925,"S","Survived","41-50"
416,"0","3","female",29,0,0,8.05,"S","No_Survived","21-30"
417,"1","2","female",34,1,1,32.5,"S","Survived","31-40"
418,"1","2","female",18,0,2,13,"S","Survived","0-20"
419,"0","2","male",30,0,0,13,"S","No_Survived","21-30"
420,"0","3","female",10,0,2,24.15,"S","No_Survived","0-20"
421,"0","3","male",29,0,0,7.8958,"C","No_Survived","21-30"
422,"0","3","male",21,0,0,7.7333,"Q","No_Survived","21-30"
423,"0","3","male",29,0,0,7.875,"S","No_Survived","21-30"
424,"0","3","female",28,1,1,14.4,"S","No_Survived","21-30"
425,"0","3","male",18,1,1,20.2125,"S","No_Survived","0-20"
426,"0","3","male",29,0,0,7.25,"S","No_Survived","21-30"
427,"1","2","female",28,1,0,26,"S","Survived","21-30"
428,"1","2","female",19,0,0,26,"S","Survived","0-20"
429,"0","3","male",29,0,0,7.75,"Q","No_Survived","21-30"
430,"1","3","male",32,0,0,8.05,"S","Survived","31-40"
